Plate   Assay   T3   T2   T1   S3   S2   S1 Label
Plate-1 1     34.0 20.0  7.3 31.2 19.4  9.2 "" 
Plate-2 1     30.8 21.3  9.0 27.9 20.5  8.6 "" 
Plate-3 1     34.1 21.9  9.0 29.9 21.7  8.8 "" 
Plate-4 1     34.0 26.7  8.8 31.1 18.2  8.3 "" 
Plate-5 1     32.3 23.4 10.1 30.6 17.0 11.1 "" 
Plate-6 1     28.4 20.3  7.8 31.9 19.6 11.9 "" 

Plate-1 2      30.1 22.5  8.8 32.1 17.8  8.9 "" 
Plate-2 2      29.5 20.9  9.3 31.5 20.5  9.7 "" 
Plate-3 2      29.0 21.7  9.8 30.1 20.4 10.9 "" 
Plate-4 2      29.1 20.7  8.6 31.4 20.1 11.5 "" 
Plate-5 2      28.4 24.9  5.6 30.3 20.0 10.1 "" 
Plate-6 2      32.5 20.1  7.0 31.9 20.4  9.7 "" 

Plate-1 3      30.7 23.5  7.9 30.0 18.5 10.4 "" 
Plate-2 3      30.7 21.3  9.7 30.6 20.7 13.1 "" 
Plate-3 3      32.1 22.2  8.5 29.5 18.6 11.0 "" 
Plate-4 3      30.8 21.3  9.2 31.2 18.0 12.4 "" 
Plate-5 3      32.3 22.8  9.0 29.3 19.0 12.6 "" 
Plate-6 3      31.7 22.3  7.5 32.2 19.0 12.2 "" 
